,Accidents,UrbanDensification,UrbanParks,OldTown,Bars,HN_noise_40,HN_noise_60,strOri_0,strOri_1,strOri_2,strOri_3,X,Y,clusterID
0,1,16739,1725,3743,1.0,1.0,0.0,788.573954,398.5403038,311.895532,940.8812457,428325.1795,4584383.383,0
1,6,0,0,0,1.0,1.0,0.0,170.5202934,1085.331112,171.6473509,1008.79149,427260.4248,4584242.708,1
2,28,73631,14721,0,3.0,1.0,0.0,0.0,1332.523631,185.2358168,1218.823993,428775.5765,4581065.862,1
3,4,0,4187,0,1.0,1.0,0.0,243.6817729,1506.751394,229.5519692,1224.381543,427493.2463,4584500.651,1
4,26,76000,0,1747,10.0,1.0,0.0,0.0,1323.169248,159.1691247,1214.115416,428790.9993,4582200.716,1
5,11,6628,21197,22861,3.0,1.0,0.0,672.6322447,1021.997959,872.2681962,912.3386621,428197.8395,4581028.054,0
6,17,8966,104436,10949,6.0,0.428571429,0.0,63.06624489,1954.976944,468.4437339,1371.138521,427690.7524,4582336.999,4
7,16,53384,670,0,1.0,1.0,0.0,112.9343874,1634.687901,694.8539266,841.0426864,430303.2209,4584974.019,1
8,14,3551,755,0,1.0,1.0,0.0,273.3902132,1410.637798,392.7189217,951.1372979,427685.555,4584779.509,1
9,15,46187,2886,0,1.0,1.0,0.0,1784.000165,725.1532072,668.0316814,452.7292097,428022.4558,4584543.854,0
10,2,0,663,0,1.0,1.0,0.0,116.0298951,1237.918371,605.0526535,1087.419273,427464.3553,4584955.362,1
11,25,52083,11981,14488,4.0,1.0,0.0,109.8681958,1964.706557,481.0607847,1693.592276,427675.7977,4581912.614,1
12,16,46336,13079,2597,2.0,1.0,0.0,435.88014,1194.18171,237.4264272,1500.413895,428182.332,4581555.155,1
13,29,120475,2126,1458,6.0,1.0,0.0,77.14686837,1973.472116,294.6453527,1732.446859,428168.853,4583759.537,1
14,19,22753,1064,3357,11.164538310412574,0.25,0.25,851.1109406,515.3833231,1637.910963,50.34919975,427841.6162,4582787.592,0
15,19,53499,0,0,1.0,1.0,0.0,354.5513374,1787.250932,248.0892119,1165.781203,429981.0546,4584745.784,1
16,23,30845,57326,22945,24.0,1.0,0.0,11.00702328,1738.37686,9.97508479,1048.633426,429129.2885,4582344.924,1
17,29,195,26487,11038,21.0,0.923076923,0.0,785.2631054,698.840648,1105.057144,1077.097361,431054.5518,4580739.021,0
18,19,6300,0,0,2.0,0.8817117125053974,0.0,545.6045579,461.2253834,250.7281434,841.5708006,427000.8397,4581664.979,1
19,46,51996,8593,1448,32.0,0.6,0.2,186.2876752,1038.137838,208.3393522,1694.252261,430071.0164,4582041.209,3
20,23,25700,4347,3581,1.0,1.0,0.0,117.8877157,1794.281227,355.5954955,1800.598894,429234.3504,4584611.6,1
21,20,49269,2907,0,4.0,1.0,0.0,362.8473016,998.4235146,58.78010164,1444.524292,428446.6686,4581587.576,1
22,21,8392,31876,0,6.0,1.0,0.0,550.3954923,555.8873579,1639.392747,267.5509077,427912.8636,4582637.969,0
23,24,28063,11026,0,8.0,0.666666667,0.111111111,678.1599854,356.8109466,1863.789807,600.6835372,428107.812,4582676.95,0
24,12,55093,0,0,1.0,1.0,0.0,182.451867,1684.541394,423.9032281,1687.430312,429593.9703,4584934.046,1
25,16,29152,0,0,1.0,1.0,0.0,58.52805444,1949.483804,19.5747175,2040.719015,430423.799,4584469.036,1
26,31,1442,16295,71729,27.0,0.375,0.0625,348.6319217,1342.452334,957.9984225,1753.721776,430615.0169,4580869.27,3
27,9,39532,1383,0,1.0,0.8817117125053974,0.0,276.6092201,1506.105105,418.4672233,790.6369018,428232.2395,4584964.529,1
28,21,47328,168,0,11.164538310412574,0.857142857,0.142857143,246.806718,1053.598464,610.0281097,1295.324831,428165.1139,4582924.939,1
29,23,0,23776,46010,37.0,0.647058824,0.058823529,106.5728916,2427.832323,240.1200972,1958.798443,431160.9555,4581037.512,2
30,8,59437,2708,0,1.0,1.0,0.0,168.2817537,1849.675706,293.890532,1178.511967,427719.4281,4584295.267,1
31,20,0,57951,55711,21.0,0.461538462,0.307692308,360.6252183,1592.67985,997.6831123,1251.3727,430412.6986,4581723.246,3
32,33,16426,0,0,28.0,0.333333333,0.333333333,166.8534488,1524.168058,390.0329288,1288.905735,429015.7262,4583030.415,3
33,18,0,421,0,1.0,1.0,0.0,798.8331156,415.9210397,1355.064962,343.6686788,427100.0407,4582570.097,0
34,20,29760,2907,0,4.0,1.0,0.0,539.5591503,1030.651012,129.033869,1165.315916,428377.9904,4581692.406,1
35,25,39066,0,0,11.164538310412574,1.0,0.0,0.0,1686.624182,98.03845446,1984.065419,430533.6276,4584558.47,1
36,15,21643,0,39920,2.0,1.0,0.0,284.907594,1900.887839,274.8392568,2256.510248,431158.5343,4582249.614,4
37,26,42917,2597,9426,1.0,1.0,0.0,26.90209025,1734.102601,167.9864449,1521.510474,428465.1026,4581283.722,1
38,23,86328,0,11950,7.0,1.0,0.0,107.7870496,2057.360315,77.06996144,1721.371596,428493.0678,4583564.14,1
39,51,84040,0,2644,19.0,1.0,0.0,0.0,1298.08058,0.0,1335.890187,430583.2788,4582333.912,1
40,42,66587,7198,0,24.0,0.75,0.25,0.0,997.2476167,0.0,1502.7701,430235.7625,4582202.759,3
41,39,72271,1986,18084,18.0,1.0,0.0,149.0188431,1431.456836,348.1126635,1517.506754,430605.2016,4582034.634,1
42,19,23527,21276,4360,3.0,0.8817117125053974,0.0,282.653887,1161.543168,361.6741915,1311.828386,428108.9531,4581196.675,1
43,48,82968,1016,0,26.0,1.0,0.0,0.0,964.5588791,0.0,1640.37181,430483.2877,4582201.116,3
44,43,65083,0,2644,21.0,1.0,0.0,0.0,1160.068481,0.0,1526.898851,430480.8138,4582441.362,1
45,52,141716,0,0,26.0,0.857142857,0.0,87.43004037,1037.748309,256.3805069,1380.695592,430347.0585,4582104.891,3
46,31,28139,2803,0,6.0,1.0,0.0,1315.604167,565.397731,342.572885,1328.631311,427294.9642,4581410.111,0
47,42,111775,10326,5289,23.0,0.875,0.0,46.0828539,1265.605071,546.6157227,1392.331478,429700.9094,4583006.56,3
48,6,16554,1383,0,1.0,1.0,0.0,437.82167,1370.279046,380.4746019,638.5130422,428309.338,4585032.567,1
49,2,0,7391,0,1.0,1.0,0.0,291.2064758,980.2876825,286.2586248,1050.13311,427276.5407,4584476.33,1
50,19,0,16318,108478,38.0,0.5625,0.1875,121.582807,2313.893759,135.4538871,1961.942315,430867.499,4581135.01,2
51,23,24201,16379,2460,1.0,1.0,0.0,1137.489939,756.9838821,1403.014666,486.134732,427213.4914,4582185.364,0
52,24,10800,38041,0,1.0,1.0,0.0,527.3290112,1009.074511,1008.838431,1412.932256,427528.8463,4582784.56,0
53,43,40029,0,7303,28.0,0.3,0.1,90.71784214,1732.240325,397.1652305,1546.343208,429200.8879,4583048.216,3
54,23,13177,266,79527,5.0,1.0,0.0,627.1971142,1942.223209,233.1075188,1729.805261,429003.7147,4584004.389,4
55,15,64125,0,0,1.0,1.0,0.0,763.4313528,1350.507123,591.985765,644.5350868,428005.6309,4584929.479,1
56,7,73639,0,0,1.0,1.0,0.0,576.4422554,1509.319993,330.7759709,709.0715983,428094.3955,4584978.288,1
57,16,41574,3436,0,1.0,1.0,0.0,967.4425517,879.7059593,959.3215146,755.12198,427129.4316,4580726.923,0
58,49,106522,0,0,25.0,0.7,0.2,0.0,1209.11336,0.0,1737.373729,429889.5707,4582810.616,3
59,21,0,55226,57795,22.0,0.5625,0.1875,582.099786,1720.525688,642.0389396,1814.826341,430283.981,4581651.501,3
60,17,0,6740,0,1.0,1.0,0.0,0.0,1752.109581,0.0,2231.013207,427283.3023,4583851.053,1
61,40,71616,7198,0,29.0,0.25,0.5,0.0,963.481185,0.0,1420.794751,430136.3488,4582302.024,3
62,16,0,82669,0,6.0,0.833333333,0.0,359.9820569,896.5858183,1601.482662,205.3592272,427722.4615,4582543.033,0
63,46,40653,7198,0,32.0,0.333333333,0.166666667,91.73383077,865.8909302,91.55683314,1495.701459,430042.2205,4582396.602,3
64,28,0,2137,0,1.0,1.0,0.0,101.7141356,1381.531518,925.8801616,1828.689204,427526.3828,4583454.535,1
65,23,29630,7416,43923,5.0,1.0,0.0,7.999612355,1905.492281,50.16264823,1860.234141,429258.8065,4584406.719,1
66,54,41843,0,0,22.0,1.0,0.0,0.0,1098.216384,0.0,1523.589729,430383.5911,4582545.109,1
67,49,60092,0,0,38.0,0.5,0.166666667,91.73383077,1004.43643,91.55683314,1500.420866,429948.5305,4582490.812,3
68,43,72285,0,0,40.0,0.571428571,0.428571429,0.0,1272.222655,0.0,1430.222488,429854.2125,4582585.536,3
69,25,54798,924,0,5.0,1.0,0.0,0.0,1424.797507,6.814169635,1463.957982,428573.9666,4581367.377,1
70,21,123776,904,256,3.0,1.0,0.0,851.5220088,1394.689621,322.9310092,891.1013991,428235.4246,4581700.812,1
71,23,57647,9141,0,11.164538310412574,0.75,0.166666667,171.0174886,1299.423285,532.104098,1659.586916,428210.5285,4583068.439,3
72,38,85721,4473,0,36.0,0.444444444,0.222222222,0.0,1074.877635,0.0,1642.938632,429665.0296,4582775.3,3
73,28,28031,3687,48582,15.0,0.857142857,0.071428571,113.7886435,1860.874108,691.3353788,1419.671879,430700.9985,4581915.099,4
74,35,25316,3259,0,12.0,1.0,0.0,881.637977,1068.413205,913.8535912,585.7026061,428378.7278,4582575.895,0
75,42,83522,10325,0,33.0,0.571428571,0.0,54.24268884,1094.056788,344.6627828,1392.543459,429570.1512,4582871.443,3
76,53,42991,571,0,23.0,1.0,0.0,0.0,1132.618566,0.0,1546.944009,430292.0986,4582641.276,1
77,16,0,84441,0,6.0,1.0,0.0,185.3171334,1132.781788,1377.111846,292.9238402,427593.4948,4582525.504,0
78,24,77123,0,7455,1.0,1.0,0.0,443.6893169,1672.670506,381.5371512,1334.846636,430237.2557,4584676.467,1
79,53,51193,571,0,11.164538310412574,1.0,0.0,0.0,1404.040346,0.0,1488.978071,430200.8608,4582738.168,1
80,64,69713,0,0,26.0,0.777777778,0.111111111,0.0,1068.622074,0.0,1602.051228,430075.8011,4582617.102,3
81,21,22380,844,76512,2.0,1.0,0.0,352.3107753,2358.743237,319.6289595,1783.099586,428774.1307,4584043.828,4
82,47,80059,1016,26697,27.0,0.714285714,0.0,242.8481536,840.7493829,799.9836831,1010.808995,430422.8461,4582000.025,3
83,38,118039,0,0,23.0,0.857142857,0.142857143,0.0,890.4042565,0.0,1231.6675,430358.2057,4582324.853,3
84,21,49575,48371,0,8.0,1.0,0.0,916.3020326,1172.534987,1095.92518,1191.856809,428202.4059,4582352.819,0
85,5,12679,755,0,1.0,1.0,0.0,150.2944662,1554.330758,157.2739678,674.1730164,427640.4293,4584610.615,1
86,54,93088,1450,0,19.0,1.0,0.0,0.0,1260.636377,0.0,1665.402583,430016.1267,4582934.368,1
87,13,0,10014,1447,5.0,1.0,0.0,418.3719348,1118.8716,1168.40251,493.1691871,427490.8608,4582468.137,0
88,22,70040,1241,0,1.0,1.0,0.0,193.7620843,2628.867846,61.94635584,1782.368677,428846.2047,4584547.699,1
89,28,84691,0,3202,7.0,1.0,0.0,97.42071536,2171.415742,129.6039498,1781.100079,428424.3683,4583677.168,1
90,55,24118,0,0,23.0,0.714285714,0.142857143,0.0,796.3683576,0.0,1497.233974,430167.5573,4582521.394,3
91,21,26317,0,3357,1.0,1.0,0.0,719.1145881,625.1974105,1302.342536,683.563596,427956.7769,4583033.734,0
92,21,39098,628,3357,6.0,0.75,0.125,498.8892314,614.9803522,1004.773322,761.043403,428062.4891,4582824.927,0
93,57,104566,1450,0,20.0,0.909090909,0.090909091,82.47181355,1042.9093,499.0863036,1722.952246,429923.6101,4583032.071,3
94,23,1885,59778,29847,11.0,0.904761905,0.0,100.0635405,2126.461943,0.0,2628.773708,430029.0718,4583899.847,4
95,41,47815,40022,15528,17.0,1.0,0.0,223.4937933,1465.111438,82.12827451,1544.596061,430730.0529,4582154.443,1
96,39,127896,0,0,7.0,1.0,0.0,203.0219147,995.5011638,560.350227,1094.659042,429077.1767,4580850.412,1
97,44,67464,4473,9650,31.0,0.666666667,0.0,69.20094746,1350.21941,480.3100916,1352.108415,429475.0022,4582959.877,3
98,53,70367,0,0,25.0,0.5,0.333333333,0.0,831.1775858,0.0,1383.433974,430259.8111,4582426.086,3
99,15,15780,11256,11756,3.0,1.0,0.0,830.7214764,1225.479295,1122.744392,815.218404,427341.8977,4582270.733,0
100,19,0,45943,86445,24.0,0.529411765,0.176470588,55.19032388,2686.815798,307.6840405,2012.837121,430368.2267,4581526.452,2
101,48,100118,40022,2644,17.0,1.0,0.0,31.88900474,1269.960239,26.47837491,1453.960378,430679.4159,4582246.959,1
102,21,0,2928,0,1.0,1.0,0.0,576.821664,791.0973195,1723.703672,632.0363819,427234.9188,4582584.128,0
103,37,63963,1910,0,6.0,1.0,0.0,255.9406855,1477.480061,2.668623639,1866.602166,430800.9353,4584079.902,1
104,23,8421,7432,0,1.0,1.0,0.0,1066.166098,459.3108235,1192.554302,98.72748474,427087.9022,4582129.317,0
105,38,39144,0,0,28.0,0.142857143,0.428571429,61.06827092,1718.076521,398.5659394,1558.837208,428888.5224,4582956.715,3
106,23,26753,4188,0,3.0,1.0,0.0,0.0,1503.002433,0.0,1739.419589,430614.4201,4584270.485,1
107,26,29411,22088,31939,4.0,0.857142857,0.0,1983.032463,474.6599055,1413.74627,744.3234708,427832.3368,4580707.938,0
108,27,59400,6062,6346,6.0,1.0,0.0,1653.457437,243.5393132,537.7575973,1351.194424,427402.4645,4581302.46,0
109,17,0,24168,86135,42.0,0.428571429,0.071428571,148.5871654,2281.895622,384.8942571,1953.486438,431010.1493,4581081.081,2
110,1,0,662,0,1.0,1.0,0.0,42.29505083,719.8717047,727.0303092,688.1088291,427540.2706,4585059.138,1
111,46,98276,14058,0,3.0,1.0,0.0,214.8375821,923.4322041,589.0431262,840.9772089,428874.0274,4580871.393,1
112,24,25923,30477,0,8.0,0.666666667,0.0,386.7533559,901.683842,1064.426806,1119.320363,427988.252,4582482.143,0
113,37,69613,3139,7029,5.0,1.0,0.0,185.7373296,1970.075367,26.89578319,1823.636305,430989.2004,4583885.772,1
114,34,44272,12584,10771,4.0,1.0,0.0,22.46048861,1756.487104,334.2065119,1719.927146,431175.878,4583693.073,1
115,25,11879,2294,0,3.0,1.0,0.0,1062.74812,751.2232393,612.1030303,995.9896199,427221.9251,4581592.253,0
116,23,35576,6098,0,3.0,1.0,0.0,0.0,1680.029634,0.0,1819.511264,430708.1357,4584175.533,1
117,19,29980,0,1728,1.0,1.0,0.0,394.6592128,2053.040964,349.4078825,648.9499736,430081.4939,4584793.702,1
118,32,138506,36229,10346,8.0,1.0,0.0,0.0,1705.191757,250.1847266,1294.054472,429266.1525,4581046.129,1
119,33,48368,0,2644,13.0,1.0,0.0,0.0,1759.156743,0.0,1331.825824,430794.3133,4582542.835,1
120,32,82486,1397,10497,11.0,1.0,0.0,153.1945131,1861.055939,89.85673727,1595.873769,430986.5421,4582728.726,1
121,19,121977,10126,0,4.0,1.0,0.0,0.0,1249.866201,0.0,1161.2915,431463.8108,4583195.843,1
122,21,230688,9179,9628,7.0,1.0,0.0,0.0,1574.26559,0.0,1335.177026,429456.6879,4581232.717,1
123,38,136849,1842,2014,13.0,1.0,0.0,0.0,1775.810066,0.0,1407.919915,429743.7521,4581513.581,1
124,17,62632,4782,0,1.0,1.0,0.0,1111.915132,1327.833805,755.3616491,623.4667842,428063.7481,4584232.495,0
125,34,52437,18186,2644,16.0,1.0,0.0,0.0,1508.823195,0.0,1397.24017,430690.9086,4582647.773,1
126,12,35029,1269,0,1.0,1.0,0.0,814.7446356,1408.034469,315.1666888,634.5689423,427782.7127,4584498.632,1
127,25,166773,45409,16730,8.0,1.0,0.0,0.0,1733.186479,73.69821041,1268.544762,429361.4544,4581139.561,1
128,33,63286,1397,10497,12.0,1.0,0.0,91.25658487,1817.457659,133.1591634,1598.676757,430882.4618,4582834.951,1
129,30,147265,0,0,7.0,1.0,0.0,0.0,1835.759272,0.0,1338.412022,429647.5089,4581420.117,1
130,26,243449,9179,5805,5.0,1.0,0.0,0.0,1778.793997,0.0,1337.268878,429552.1095,4581326.471,1
131,45,56594,1395,414,27.0,0.8,0.2,166.845422,1720.797154,112.9672181,1298.011575,429927.6282,4581900.513,3
132,31,139497,15504,3822,6.0,1.0,0.0,0.0,1722.250589,0.0,1333.090384,429162.0306,4581152.152,1
133,44,75017,12782,2014,16.0,0.714285714,0.0,174.8320262,1824.300247,0.0,1412.713716,429839.5285,4581607.382,3
134,16,118680,10126,0,7.0,1.0,0.0,0.0,1533.306208,12.93906208,1640.650205,431368.2141,4583102.55,1
135,33,85842,19583,10497,14.0,1.0,0.0,0.0,1509.005073,0.0,1414.816852,430786.5633,4582742.063,1
136,23,10197,2294,2887,2.0,1.0,0.0,866.0528726,972.1984883,638.0704211,1312.190666,427140.5588,4581683.9,0
137,56,91171,4068,6767,17.0,0.5,0.0,403.1909272,1724.203397,112.9672181,1418.62597,429934.0946,4581701.277,3
138,40,131559,798,0,4.0,1.0,0.0,56.24362523,1299.573894,225.2066828,1174.225855,428971.7644,4580965.575,1
139,34,144539,36229,7101,8.0,1.0,0.0,115.588904,1479.755204,366.2697664,1272.625423,429170.7499,4580952.737,1
140,30,70273,1397,8212,13.0,1.0,0.0,0.0,1577.005488,0.0,1435.802788,430891.5787,4582635.57,1
141,37,120133,12782,0,13.0,0.857142857,0.0,0.0,1720.236289,0.0,1473.490013,429640.3424,4581619.731,1
142,34,104750,10126,0,7.0,1.0,0.0,101.0750637,1813.180002,158.5156775,1837.234997,431272.504,4583009.592,1
143,24,195320,39342,3478,5.0,1.0,0.0,0.0,1571.17022,0.0,1337.463576,429449.036,4581433.076,1
144,21,254954,39460,7301,8.0,1.0,0.0,0.0,1722.477408,0.0,1337.747389,429353.1727,4581339.155,1
145,45,61001,0,2644,15.0,1.0,0.0,0.0,1413.24859,0.0,1670.967896,430699.3838,4582448.829,1
146,29,88890,15347,0,4.0,1.0,0.0,0.0,1579.724047,12.93906208,1458.576044,431360.4206,4583301.976,1
147,31,67952,398,0,26.0,0.266666667,0.466666667,146.2081353,1797.888125,0.0,1563.078213,428915.8664,4583162.193,3
148,27,126692,36914,0,7.0,0.857142857,0.0,0.0,1720.598689,0.0,1338.800974,429544.5963,4581526.275,1
149,17,37571,821,3743,1.0,1.0,0.0,177.6034631,1342.325431,654.6580809,1768.997199,428497.252,4584278.323,1
150,24,6086,57670,0,7.0,0.823529412,0.0,172.4409072,2161.000684,80.56155836,1850.851246,430127.4276,4583987.361,1
151,35,82248,17972,6383,3.0,1.0,0.0,89.06562977,1309.163234,418.8496108,1193.838069,431456.1855,4583591.485,1
152,25,193967,18629,7301,6.0,1.0,0.0,0.0,1573.556596,0.0,1336.953087,429257.5422,4581245.908,1
153,46,112500,12782,2014,18.0,0.833333333,0.0,0.0,1999.329663,0.0,1270.303066,429735.7915,4581713.083,3
154,44,76035,18186,2644,18.0,1.0,0.0,0.0,1144.97461,0.0,1444.622171,430594.648,4582554.659,1
155,28,122500,15504,0,6.0,1.0,0.0,0.0,1579.953309,0.0,1200.271625,429067.0734,4581059.126,1
156,29,61859,924,0,6.0,1.0,0.0,0.0,1528.114263,0.0,1711.876045,428680.1832,4581448.108,1
157,28,105429,5221,0,3.0,1.0,0.0,0.0,1180.888543,0.0,1032.457773,431455.8114,4583394.682,1
158,12,18269,10479,0,1.0,1.0,0.0,41.72125457,1859.694691,180.3821815,1710.619,427301.5914,4582868.989,1
159,26,34023,7953,0,7.0,1.0,0.0,721.9231324,1552.005934,506.9676344,1330.353192,428279.1414,4582048.708,1
160,19,53605,168,3357,3.0,1.0,0.0,613.5970773,955.653662,1172.337233,704.2559999,428060.8483,4583003.346,0
161,27,21212,4726,0,1.0,1.0,0.0,66.71377202,1817.768235,264.6393472,2089.351206,429347.0995,4584725.796,1
162,19,0,9440,0,1.0,1.0,0.0,314.6478016,984.3308458,1519.585343,1037.638391,427374.57,4582621.999,0
163,37,82815,398,15072,19.0,0.357142857,0.142857143,146.2081353,2246.229598,58.50338062,1701.15945,429013.2539,4583275.886,3
164,17,62947,4696,0,6.0,1.0,0.0,0.0,1414.891304,0.0,1707.570062,428692.4417,4581631.552,1
165,15,25092,0,17727,2.0,1.0,0.0,42.19724484,1482.765142,0.0,1632.515515,431467.724,4584534.519,1
166,31,51085,6062,9871,6.0,1.0,0.0,1307.868266,339.3310378,503.00536,1577.452029,427262.7812,4581229.163,0
167,29,62172,470,7563,6.0,1.0,0.0,866.7651194,1323.332956,622.5455359,1115.525638,428500.7027,4582393.199,1
168,19,61894,471,0,7.0,1.0,0.0,778.9834164,1117.562131,805.7507004,1037.168594,428409.885,4582278.917,0
169,21,36772,0,13792,5.0,1.0,0.0,112.8139832,1820.031957,0.0,1678.489744,431368.5525,4584442.914,1
170,30,55735,10326,30084,29.0,0.923076923,0.0,135.9047145,1800.092228,507.5036603,1463.305852,429555.0451,4583126.563,3
171,41,96705,30612,20411,6.0,1.0,0.0,44.90825256,1550.006265,378.7692447,1450.198353,430601.1113,4583502.503,1
172,19,81215,9854,0,1.0,1.0,0.0,1187.809938,412.4876704,949.556947,886.2535998,427070.428,4580882.22,0
173,39,47679,0,0,12.0,0.75,0.1,303.2920672,1770.137571,512.6555191,1177.218505,428449.5225,4582809.858,3
174,24,80532,9731,5795,9.0,1.0,0.0,20.9377537,1523.618498,0.0,1872.211028,429076.1042,4581821.183,1
175,46,30846,12075,14201,22.0,0.642857143,0.071428571,572.7829123,1551.552585,508.8083658,1398.097851,430023.1673,4581795.918,3
176,26,21412,31711,14169,7.0,1.0,0.0,0.0,1959.440221,0.0,1675.135231,430412.9076,4583699.682,1
177,41,62174,0,7563,15.0,0.875,0.0,124.1125185,1454.102033,616.8914107,1340.225192,428698.9337,4582581.678,1
178,11,64538,57122,1134,1.0,1.0,0.0,644.1563783,1753.465062,775.9379693,1012.52293,428559.2451,4584752.881,1
179,37,67400,1742,10816,37.0,0.571428571,0.285714286,11.65347818,1457.296652,0.0,1574.991753,429459.5396,4582763.281,3
180,33,46164,25734,40384,7.0,0.821428571,0.0,2591.08466,436.4279569,2043.132209,790.2402624,427635.739,4580886.616,0
181,27,44615,39005,35274,14.0,1.0,0.0,499.6001386,1720.313466,504.3476492,1830.032038,430890.1833,4582099.619,4
182,21,115717,6306,1094,9.0,0.727272727,0.0,699.6342344,1438.514568,677.5824476,1517.25467,429835.79,4580836.548,1
183,39,43961,140,0,10.0,1.0,0.0,0.0,1919.016192,298.7074924,1583.575614,430406.5368,4583130.461,1
184,25,51516,56699,17772,35.0,0.857142857,0.142857143,0.0,1566.572125,9.97508479,1583.045565,429268.058,4582575.701,3
185,29,81436,5221,0,4.0,1.0,0.0,22.46048861,1537.958442,253.4151638,1490.044744,431261.8546,4583403.087,1
186,6,20017,755,0,1.0,1.0,0.0,770.8089914,963.8454215,946.5485391,439.4010507,427783.3766,4584969.694,0
187,31,65540,844,7563,13.0,0.75,0.0,37.92614,1235.861184,226.7962872,1455.999411,428793.9622,4582484.775,1
188,22,63057,3748,0,6.0,1.0,0.0,176.7118487,1319.078384,100.2047473,1595.012982,428503.4378,4581825.717,1
189,43,38909,0,0,18.0,0.923076923,0.0,330.7708388,1758.343554,531.4903447,1145.650564,428602.2808,4582676.719,1
190,26,50813,55801,1747,15.0,0.9,0.0,0.0,1394.189501,44.10213375,1337.691525,428980.6108,4582294.178,1
191,35,49613,1742,8656,35.0,0.571428571,0.142857143,0.0,1474.856531,0.0,1513.065095,429554.2708,4582666.323,3
192,28,78529,31934,20411,6.0,1.0,0.0,44.90825256,1648.070614,150.8375914,1438.248869,430506.8503,4583603.625,1
193,28,46878,13729,2087,5.0,1.0,0.0,0.0,1414.594846,2.668623639,2214.984643,430699.3928,4583978.863,1
194,29,54366,0,28233,5.0,1.0,0.0,70.61673835,1695.07762,0.0,1972.672089,431275.4914,4584349.089,1
195,50,73850,3461,0,8.0,1.0,0.0,44.90825256,1648.980557,320.4935455,1377.738045,430787.9269,4583314.856,1
196,24,40856,55475,27041,38.0,0.833333333,0.0,11.00702328,1563.993315,0.0,1582.633356,429362.5702,4582478.701,3
197,15,52362,3748,4161,7.0,1.0,0.0,0.0,1552.213379,0.0,1411.38389,428788.2845,4581916.945,1
198,13,74303,0,17807,11.0,1.0,0.0,424.861275,1984.927534,162.4565645,1434.437036,430026.62,4581033.973,1
199,35,20868,0,310,35.0,0.666666667,0.0,90.93991827,1533.653685,0.0,1458.789475,429549.268,4582287.908,3
200,27,48181,1742,10816,38.0,0.571428571,0.428571429,0.0,1679.558237,0.0,1611.633231,429363.8151,4582669.415,3
201,41,85364,3961,5795,19.0,0.75,0.25,0.0,1601.792122,0.0,1952.573355,429261.9238,4582006.657,3
202,42,52756,0,0,11.0,1.0,0.0,0.0,1873.562637,539.9949805,1497.006286,430312.6873,4583224.163,1
203,21,62109,5436,12475,5.0,1.0,0.0,0.0,1870.091668,2.668623639,1767.371775,430698.2893,4583788.441,1
204,32,48011,19583,13226,15.0,1.0,0.0,0.0,1938.520949,0.0,1334.145339,430687.8378,4582842.699,1
205,13,88944,11098,0,5.0,1.0,0.0,193.0498126,1359.800922,0.0,1040.355494,431466.4761,4583001.007,1
206,32,53236,0,0,32.0,0.454545455,0.090909091,51.64993583,1434.988384,390.0329288,1551.658707,429080.7842,4582767.304,3
207,37,109788,12885,0,3.0,1.0,0.0,89.06562977,1311.45774,321.7568153,1303.289159,431357.3259,4583497.235,1
208,17,86146,1050,0,7.0,1.0,0.0,623.0407188,1108.903336,838.3026742,1486.311787,429647.1795,4580838.574,1
209,51,50971,0,0,33.0,0.75,0.0,0.0,1726.716898,91.91836079,1378.335567,429829.3862,4582000.833,3
210,13,74279,5057,0,5.0,1.0,0.0,0.0,1354.597411,0.0,1720.119135,428597.722,4581729.325,1
211,33,146507,971,26952,5.0,1.0,0.0,204.487419,1951.18135,136.1425018,1579.112363,431276.9894,4582814.204,1
212,31,55852,5436,0,5.0,1.0,0.0,0.0,1390.828222,2.668623639,1867.233871,430794.272,4583881.664,1
213,34,33839,19520,45835,17.0,0.555555556,0.111111111,200.2429234,1509.3568,811.1513069,1364.378113,430529.4532,4581848.155,3
214,35,52681,10031,0,44.0,0.666666667,0.333333333,182.673749,1401.083188,91.55683314,1451.178673,429740.582,4582475.133,3
215,14,0,9099,1447,3.0,1.0,0.0,609.9773138,1068.539387,1534.128119,462.9453988,427379.9648,4582409.901,0
216,40,52244,18186,2728,16.0,1.0,0.0,0.0,1938.469663,0.0,1357.122023,430591.7884,4582748.947,1
217,26,66482,470,7563,8.0,1.0,0.0,226.2146642,1478.553928,433.3209006,1192.374272,428603.6941,4582303.007,1
218,55,55896,0,0,9.0,1.0,0.0,44.90825256,1740.213344,302.0602714,1620.319515,430691.7713,4583220.794,1
219,25,103107,463,0,4.0,1.0,0.0,0.0,1673.949344,12.93906208,1533.890031,431165.9005,4583309.718,1
220,28,89027,9055,21374,16.0,1.0,0.0,18.64011318,1722.714477,370.9653839,2377.859703,430124.2938,4583417.243,1
221,24,96850,4417,8122,10.0,0.909090909,0.0,670.7665662,1341.285365,479.4520723,1375.983846,430025.0035,4580834.31,1
222,46,50717,712,0,16.0,1.0,0.0,0.0,1485.669264,0.0,1381.42059,430216.1707,4582942.829,1
223,46,145526,12782,0,13.0,0.5,0.0,0.0,1861.935617,0.0,1401.642566,429542.1698,4581720.342,3
224,40,45680,8597,0,35.0,0.666666667,0.333333333,91.73383077,1031.257904,183.4751939,1260.202738,430020.2299,4582188.538,3
225,41,50634,18327,2728,14.0,1.0,0.0,0.0,1885.317141,0.0,1820.77026,430594.7351,4582938.77,1
